CaseID,B3,ND2,B7_b,GH1,ppeducat,race_5cat,weight,weight_pop
51,About the same,About the same,Good,Pay rent,High school graduate (high school diploma or the equivalent GED),Black,1.0626,23235.1701
52,About the same,Much higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.386,8441.2201
53,Somewhat worse off,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.5539,12111.1869
54,Somewhat worse off,Somewhat lower,Only fair,Pay rent,Some college or Associate's degree,Asian,1.3241,28952.7311
55,Much worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Asian,0.9231,20185.446
56,Somewhat worse off,About the same,Poor,Neither own nor pay rent,High school graduate (high school diploma or the equivalent GED),White,1.5562,34027.5749
57,Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,Asian,2.0164,44091.6919
58,About the same,Much higher,Good,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.7703,16844.592
59,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.5989,13095.626
60,About the same,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.6988,15280.2056
61,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7575,16562.8515
62,Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7076,15472.8743
63,About the same,Somewhat higher,Good,Pay rent,Bachelor's degree or higher,White,0.7468,16329.0748
64,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.71,15525.1982
65,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.5974,13063.8424
66,About the same,Somewhat higher,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.298,28383.1341
67,About the same,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.6388,13967.3358
68,Much worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.0677,23346.0505
69,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.6988,15280.2056
70,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6364,13914.758
71,Much worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.0722,23445.1546
72,About the same,Somewhat higher,Only fair,Pay rent,Bachelor's degree or higher,White,0.8014,17523.5629
73,About the same,Somewhat higher,Only fair,Pay rent,Bachelor's degree or higher,White,0.7653,16733.4566
74,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.6467,14140.9356
75,Much worse off,About the same,Only fair,Neither own nor pay rent,Bachelor's degree or higher,Hispanic,0.8911,19484.1217
76,Much worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.0376,22689.5099
77,About the same,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.815,17821.3844
78,Much better off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.5558,12153.1069
79,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,1.1259,24619.3862
80,About the same,Somewhat higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.4808,10512.3875
81,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,Asian,1.9686,43044.9865
82,About the same,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.9335,20411.4205
83,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.5974,13063.8424
84,About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7007,15321.6202
85,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.5974,13063.8424
86,Somewhat better off,Much higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.9226,20174.8978
87,Somewhat worse off,About the same,Only fair,Neither own nor pay rent,No high school diploma or GED,White,0.8353,18265.9019
88,About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.9967,21793.3678
89,About the same,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.769,16814.7934
90,Much better off,About the same,Good,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,1.1135,24347.811
91,Somewhat worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.8634,18880.3487
92,About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.9187,20089.3827
93,About the same,Somewhat higher,Only fair,Neither own nor pay rent,Bachelor's degree or higher,Other,0.2914,6372.5699
94,About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.3164,28784.3601
95,About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Black,0.9829,21493.2073
96,Somewhat better off,Much higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.7007,15321.6202
97,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.7382,16142.5632
98,About the same,About the same,Poor,Neither own nor pay rent,High school graduate (high school diploma or the equivalent GED),White,1.3791,30155.2989
99,Somewhat better off,Somewhat higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.2689,27746.4885
100,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.6471,14149.361
101,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,1.1731,25652.3835
102,About the same,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,1.2294,26883.5313
103,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.6317,13813.4652
104,Much worse off,Much higher,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.7102,15529.7006
106,About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.9967,21793.3678
107,Somewhat worse off,About the same,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.984,21515.8307
108,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.8505,18596.2755
109,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.4084,8930.4961
110,Much worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.4129,9028.7879
111,Somewhat better off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,1.2564,27473.8328
112,Somewhat better off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.1697,25577.0393
113,About the same,About the same,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.7362,16098.9296
114,Somewhat worse off,Much lower,Only fair,Pay rent,Bachelor's degree or higher,White,0.4129,9028.7879
115,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.9869,21579.2115
116,About the same,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.0715,23429.6804
117,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.8969,19612.475
118,About the same,Much higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Asian,1.8113,39606.6613
119,About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Black,0.501,10953.9648
120,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.7456,16302.7652
121,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.4936,32659.6408
122,Much worse off,Much higher,Poor,Neither own nor pay rent,Bachelor's degree or higher,Other,0.7847,17159.0665
123,About the same,About the same,Good,Pay rent,High school graduate (high school diploma or the equivalent GED),Black,1.4125,30885.9165
124,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.4911,10739.5377
125,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.2361,27029.4281
126,About the same,About the same,Good,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.673,14715.7153
127,Somewhat better off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,Black,1.6966,37098.8271
128,Somewhat worse off,Somewhat lower,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.9051,19790.4153
129,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.7458,16308.8148
130,Much worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.9884,21612.2715
131,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Black,0.7854,17173.8704
132,Much worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7456,16302.7652
133,Somewhat better off,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.6292,13758.0583
134,About the same,Much higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.5503,12033.6823
135,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,Hispanic,0.523,11435.6574
136,About the same,About the same,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.417,9118.3914
137,About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.718,15700.0129
138,Much worse off,Much higher,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White,1.0794,23602.0837
139,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.5591,12225.0555
140,About the same,About the same,Only fair,Pay rent,Bachelor's degree or higher,White,0.5781,12641.8712
141,About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.4642,10151.1496
142,Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Hispanic,1.4739,32228.2411
143,About the same,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Black,0.5015,10965.274
144,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.7409,16200.3783
145,Somewhat better off,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.6292,13758.0583
146,About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.8188,17903.5345
147,About the same,About the same,Only fair,Neither own nor pay rent,Bachelor's degree or higher,Asian,1.0101,22087.8618
149,About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,Black,0.7297,15954.8828
150,Much better off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),Hispanic,1.6892,36936.9117
151,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Hispanic,0.95,20771.9856
152,About the same,About the same,Good,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.6267,13704.3897
153,Much better off,Much higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.8331,18215.8346
154,About the same,About the same,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.7362,16098.9296
155,About the same,Much higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.5015,10965.4948
156,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,1.3655,29857.8076
157,About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Other,0.1859,4064.5996
158,About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Hispanic,0.602,13164.0939
159,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.6471,14149.361
160,Much worse off,About the same,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.6852,14981.7128
161,Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.0008,21883.5087
162,Somewhat worse off,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Other,0.1677,3666.6386
163,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.9109,19917.9717
164,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.3098,6774.3699
165,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.6399,13992.7265
166,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.7873,17215.2353
167,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.645,14104.0969
168,About the same,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.9534,20846.6562
169,About the same,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White,1.0721,23443.4148
170,Somewhat worse off,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.9042,19771.8252
171,About the same,About the same,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7729,16899.5227
173,Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Asian,0.9231,20185.446
174,Somewhat better off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.5924,12953.5659
175,Somewhat worse off,Somewhat higher,Only fair,Pay rent,Bachelor's degree or higher,White,0.6078,13289.8954
176,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.7282,15923.6687
177,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.5433,11881.0489
178,About the same,About the same,Good,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.7482,16361.1544
180,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.4492,31689.7412
181,About the same,Much higher,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.764,16705.3888
182,About the same,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.7362,16098.9296
183,About the same,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.1333,24781.5552
184,About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Hispanic,0.523,11435.6574
185,About the same,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.6883,15051.257
186,Somewhat better off,Much higher,Poor,Pay rent,Bachelor's degree or higher,White,0.9732,21279.8529
187,About the same,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.3549,29627.4629
188,About the same,Much higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.8915,19493.8887
189,Somewhat worse off,Somewhat higher,Good,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.7436,16258.6986
190,Somewhat worse off,About the same,Poor,Neither own nor pay rent,Bachelor's degree or higher,White,0.7707,16853.3823
191,Somewhat worse off,Much higher,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.764,16705.3888
192,Somewhat worse off,Somewhat lower,Good,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.9362,20472.3273
193,Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Black,2.2482,49160.2132
194,About the same,Somewhat lower,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.4936,32659.6408
195,About the same,About the same,Poor,Neither own nor pay rent,Bachelor's degree or higher,White,0.6467,14140.9356
196,Somewhat better off,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White,1.6766,36661.5283
197,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.3532,7723.2211
198,Much better off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.0054,21983.5413
199,About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.7873,17215.2353
200,Much worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.7977,17443.7602
201,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6403,14001.9772
203,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.764,16705.3888
204,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.2223,26726.6534
205,Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.094,23922.6348
206,Somewhat worse off,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.6399,13992.7265
207,Somewhat worse off,Somewhat lower,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.2906,28220.6405
208,Much worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7729,16899.5227
209,About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.7711,16860.3265
210,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.608,13294.827
211,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7007,15321.6202
212,Somewhat better off,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.8505,18596.2755
213,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.8634,18880.3487
214,About the same,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.808,17668.7699
215,Much better off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.0128,22146.0361
216,Somewhat worse off,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.4084,8930.8445
217,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,1.0128,22146.0361
218,About the same,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.0339,22608.5599
219,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.0715,23429.6804
220,About the same,Somewhat higher,Good,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.8573,18746.3744
221,Much worse off,Somewhat lower,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.4642,10151.1496
222,About the same,Much higher,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.9744,21306.2659
223,Somewhat worse off,About the same,Poor,Pay rent,No high school diploma or GED,Black,1.3896,30385.991
224,About the same,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.2361,27029.3891
225,Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6902,15092.0511
226,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.764,16705.3888
227,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.0339,22608.5599
228,Somewhat better off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.9367,20481.7834
229,About the same,Much lower,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.5591,12225.0555
230,About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,1.2361,27029.3891
231,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6427,14052.8508
232,About the same,Somewhat higher,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.8799,19240.2467
233,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Asian,0.8762,19158.899
234,About the same,Much higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.9967,21793.3678
235,About the same,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.907,19832.965
236,Much worse off,About the same,Poor,Neither own nor pay rent,No high school diploma or GED,White,0.8705,19035.0953
237,About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.7155,15644.4908
238,About the same,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.7102,15529.7006
239,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.8969,19612.475
240,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.6078,13289.8954
